,ID,Shrt_Desc,Carbohydrt_(g),Energ_Kcal,Lipid_Tot_(g),Cholestrl_(mg),Sodium_(mg),Protein_(g),Fiber_TD_(g),Sugar_Tot_(g)
7151,7151,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",0.0,143,5.89,59.0,54.0,20.93,0.0,0.0
4433,4433,"BEV,CHOCO-FLA BEV MIX , MLK,PDR,W/ ADD NUTR,PREP W/ WHL MILK",11.87,89,3.17,10.0,50.0,3.27,0.4,11.59
219,219,"ICE CRM,LT,SOFT SERVE,CHOC",23.15,141,3.69,15.0,64.0,3.36,0.0,19.46
4329,4329,"BEVERAGES,TEA,BLACK,RTD,PEACH,DIET",0.25,1,0.0,0.0,5.0,0.0,0.0,0.0
2659,2659,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN&FAT,CKD,BRLD",0.0,170,5.53,76.0,65.0,28.19,0.0,0.0
2737,2737,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN & FAT,UNHTD",1.42,121,5.38,50.0,1126.0,17.06,0.0,1.42
73,73,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",5.49,56,1.98,8.0,59.0,3.95,0.0,5.26
6464,6464,"CANDIES,M&M MARS PRETZEL CHOC CANDIES",72.94,447,15.0,13.0,475.0,5.0,2.5,50.0
5447,5447,"VEAL,AUSTRALIAN,SHANK,FORE,BONE-IN,LN & FAT,RAW",0.0,145,7.42,65.0,108.0,19.58,0.0,0.0
3810,3810,"BEEF,CURED,DRIED",2.76,153,1.94,79.0,2790.0,31.1,0.0,2.7
1843,1843,"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",13.08,62,0.24,0.0,102.0,1.84,0.6,0.07
4427,4427,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",0.1,250,0.0,0.0,1.0,0.0,0.0,0.0
2907,2907,"CAULIFLOWER,RAW",4.97,25,0.28,0.0,30.0,1.92,2.0,1.91
2665,2665,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,RAW",0.0,120,3.53,65.0,52.0,20.65,0.0,0.0
2480,2480,"PORK,FRSH,COMP OF RTL CUTS (LEG,LOIN,SHLDR),LN,RAW",0.0,134,4.86,64.0,59.0,21.2,0.0,0.0
8058,8058,"AUSTIN,PNUT BUTTER ON CHS CRACKERS,SANDWICH-TYPE",59.0,492,24.5,0.0,843.0,10.8,3.2,9.0
8776,8776,"BABYFOOD,GRAPE JUC,NO SUGAR,CND",15.38,62,0.0,0.0,10.0,0.0,0.0,15.3
3891,3891,"BEEF,LOIN,TOPLOINSTK,BNLS,LIP OFF,LN,0"" FT,ALL GRD,CKD,GRLD",0.0,202,8.41,91.0,61.0,29.53,0.0,0.0
3310,3310,"POTATOES,BKD,FLESH & SKN,WO/ SALT",21.15,93,0.13,0.0,10.0,2.5,2.2,1.18
1411,1411,"CAMPBELL'S,HOMESTYLE CHICK NOODLE SOUP,COND",7.53,51,1.28,8.0,739.0,2.36,0.8,1.11
7150,7150,"BF,CHUCK,CLOD,TOP BLADE,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",0.0,222,12.79,83.0,77.0,24.93,0.0,0.0
7950,7950,"KEEBLER,TOWN HOUSE,TOPPERS,MULTIGRAIN CRACKERS",68.4,462,18.5,0.0,871.0,7.6,3.4,13.7
6079,6079,"POPCORN,CARAMEL-COATED,WO/PNUTS",79.1,431,12.8,0.0,206.0,3.8,5.2,53.19
47,47,"CHEESE SPRD,PAST PROCESS,AMERICAN",8.73,290,21.23,55.0,1625.0,16.41,0.0,7.32
1433,1433,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",8.57,57,1.22,8.0,347.0,2.86,0.8,1.63
3747,3747,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",0.0,155,7.37,62.0,79.0,20.72,0.0,0.0
2489,2489,"PORK,FRSH,LEG (HAM),WHL,LN,CKD,RSTD",0.0,211,9.44,94.0,64.0,29.41,0.0,0.0
7850,7850,"KEEBLER,ANIMALS,COOKIES",75.3,450,14.2,0.0,468.0,5.6,1.4,25.4
7270,7270,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,ALL GRDS,CKD,BRSD",0.0,299,20.57,90.0,68.0,28.36,0.0,0.0
2739,2739,"PORK,CURED,HAM -- H2O ADDED,SHANK,BONE-IN,LN & FAT,UNHTD",0.66,167,11.02,52.0,964.0,16.65,0.0,0.66
7526,7526,"BEEF,NZ,IMP,BRISKET NAVEL END,LN & FAT,CKD,BRSD",0.0,453,41.33,72.0,33.0,20.14,0.0,0.0
4752,4752,"BEANS,BLACK,MATURE SEEDS,RAW",62.36,341,1.42,0.0,5.0,21.6,15.5,2.12
7383,7383,"BEEF,AUS,IMP,GRSS-FED,TOP LOIN STK/RST,BNLESS,LN,RAW",0.0,131,4.87,41.0,66.0,21.79,0.0,0.0
7990,7990,"KELLOGG'S,SPL K,CRACKER CHIPS,SEA SALT",75.4,361,7.6,0.0,760.0,6.8,10.8,0.6
3863,3863,"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,SEL,CKD,BRSD",0.0,206,6.3,91.0,46.0,34.93,0.0,0.0
2830,2830,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT",6.68,34,0.2,0.0,13.0,3.6,1.9,1.04
1746,1746,"SCRAPPLE,PORK",14.06,213,13.87,49.0,482.0,8.06,0.3,0.2
6721,6721,"FAST FOODS,POTATO,MASHED",14.65,89,2.82,0.0,306.0,1.65,1.3,0.5
3718,3718,"SEEDS,SUNFLOWER SD KRNLS FROM SHELL,DRY RSTD,W/ SALT ADDED",15.31,546,49.8,0.0,6008.0,19.33,9.0,2.73
4819,4819,"NOODLES,CHINESE,CELLOPHANE OR LONG RICE (MUNG BNS),DEHYD",86.09,351,0.06,0.0,10.0,0.16,0.5,0.0
5206,5206,"VEAL,LOIN,LN,CKD,BRSD",0.0,226,9.15,125.0,84.0,33.57,0.0,0.0
6196,6196,"DESSERTS,EGG CUSTARD,BKD,PREPARED-FROM-RECIPE",11.0,104,4.58,84.0,61.0,5.02,0.0,11.0
4107,4107,"BEEF,RND,TOP RND STK,BNLS,LN & FAT,0"" FAT,CHOIC,CKD,GRLD",0.0,170,4.62,86.0,78.0,30.12,0.0,0.0
6637,6637,"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,ENR",72.2,362,1.38,0.0,2.0,13.07,2.4,1.1
5757,5757,"DOUGHNUTS,FRENCH CRULLERS,GLAZED",59.5,412,18.3,11.0,345.0,3.1,1.2,35.11
1826,1826,"CEREALS RTE,WHEAT GERM,TSTD,PLN",49.6,382,10.7,0.0,4.0,29.1,15.1,7.8
5189,5189,"VEAL,COMP OF RTL CUTS,LN,CKD",0.0,196,6.58,118.0,89.0,31.9,0.0,0.0
7185,7185,"BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,RAW",0.12,130,4.81,63.0,79.0,21.64,0.0,0.0
8041,8041,"SUNSHINE,CHEEZ-IT,DUOZ SHARP CHEDDAR PARMESAN CRACKERS",60.5,500,25.0,4.0,866.0,9.7,2.3,1.5
1586,1586,FISH BROTH,0.4,16,0.6,0.0,318.0,2.0,0.0,0.09
6755,6755,"PIZZA,MEAT & VEG TOPPING,RISING CRUST,FRZ,CKD",28.78,271,11.75,19.0,640.0,12.63,2.3,7.26
8069,8069,"KEEBLER,SANDIES,SIMPLY SHORTBREAD COOKIES",62.2,528,28.8,45.0,291.0,6.0,1.4,22.6
211,211,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",8.85,307,23.06,78.0,1279.0,16.09,0.0,6.24
3146,3146,"RADISHES,RAW",3.4,16,0.1,0.0,39.0,0.68,1.6,1.86
2981,2981,"JUTE,POTHERB,CKD,BLD,DRND,WO/SALT",7.29,37,0.2,0.0,11.0,3.68,2.0,1.0
3393,3393,"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/ SALT",19.73,94,0.38,0.0,240.0,3.17,5.0,3.23
2402,2402,"CHERRIES,SWT,CND,PITTED,HVY SYRUP,DRND",21.07,83,0.21,0.0,3.0,0.73,2.3,16.18
7083,7083,PULLED PORK IN BARBECUE SAU,18.74,168,4.42,35.0,666.0,13.19,1.2,15.2
7679,7679,"BEEF,RND,TOP RND,STEAK,LN,1/8"" FAT,SEL,RAW",0.0,129,3.37,61.0,64.0,23.13,0.0,0.0
6801,6801,"PIZZA HUT 12"" SUPER SUPREME PIZZA,HAND-TOSSED CRUST",25.62,243,10.72,20.0,689.0,10.9,2.0,3.71
7772,7772,"CAMPBELL'S SOUP ON THE GO,HEALTHY REQUEST CLASSIC TOMAT SOUP",9.18,39,0.0,0.0,134.0,0.98,0.7,5.57
6511,6511,"RICE,WHITE,LONG-GRAIN,REG,ENR,CKD",28.17,130,0.28,0.0,1.0,2.69,0.4,0.05
992,992,"TURKEY,WHL,GIBLETS,CKD,SIMMRD",0.0,173,6.61,521.0,117.0,26.44,0.0,0.0
1348,1348,"PREGO PASTA,RSTD GARLIC & HERB ITAL SAU,RTS",10.0,69,2.31,0.0,354.0,1.54,2.3,6.92
2634,2634,"PORK,CURED,HAM,EX LN&REG,CND,RSTD",0.49,167,8.43,41.0,1068.0,20.94,0.0,0.0
2101,2101,"CEREALS,QUAKER,INST OATMEAL,WEIGHT CONTROL,CINN",64.21,361,6.28,1.0,618.0,16.5,13.0,1.27
3031,3031,"ONIONS,DEHYDRATED FLAKES",83.28,349,0.46,0.0,21.0,8.95,9.2,37.41
2031,2031,"CEREALS RTE,GENERAL MILLS,CHOC CHEX",81.09,412,8.39,0.0,629.0,4.8,2.0,26.2
8763,8763,"SNACKS,TORTILLA CHIPS,LT (BAKED W/ LESS OIL)",73.4,465,15.2,0.0,564.0,8.7,5.7,0.53
6762,6762,"MCDONALD'S,QUARTER POUNDER W/ CHS",19.95,258,14.22,47.0,579.0,14.59,1.4,4.91
7890,7890,"KEEBLER,FUDGE SHOPPE,FUDGE-DIPPED ICE CRM CUPS",73.1,485,18.8,0.0,136.0,6.0,2.2,25.7
4351,4351,"BEVERAG,MALT DRK MIX,CHOC,W/ ADDED NUTR,PDR,PREP W/ WHL MILK",11.19,87,3.26,10.0,87.0,3.29,0.4,10.49
12,12,"CHEESE,COTTAGE,CRMD,W/FRUIT",4.61,97,3.85,13.0,344.0,10.69,0.2,2.38
5522,5522,"VEAL,LEG,TOP RND,CAP OFF,CUTLET,BNLESS,CKD,GRILLED",0.0,151,2.63,72.0,88.0,31.89,0.0,0.0
8061,8061,"KELLOGG'S,EGGO MINIS,PANCAKES,BTTRMLK",39.6,251,8.2,11.0,521.0,5.5,1.0,10.3
755,755,"SALAD DRSNG,ITALIAN DRSNG,FAT-FREE",8.75,47,0.87,2.0,1129.0,0.97,0.6,8.85
2312,2312,"PEACHES,CND,JUC PK,SOL&LIQUIDS",11.57,44,0.03,0.0,4.0,0.63,1.3,10.27
3423,3423,"ONIONS,FRZ,WHL,CKD,BLD,DRND,W/SALT",6.11,26,0.05,0.0,244.0,0.71,1.4,2.9
2745,2745,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN & FAT,HTD,RSTD",1.54,126,5.48,54.0,1181.0,17.77,0.0,1.54
7749,7749,"Snack, Mixed Berry Bar",58.84,383,10.53,0.0,447.0,13.16,7.9,26.32
189,189,"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",23.53,112,0.0,1.0,135.0,3.53,1.2,14.97
5946,5946,"ARCHWAY Home Style Cookies, Oatmeal Raisin",69.27,406,12.08,8.0,339.0,5.17,2.7,39.55
1235,1235,"CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",7.94,56,1.98,8.0,603.0,2.38,0.8,0.79
5732,5732,"CRACKERS,RYE,WAFERS,PLAIN",80.4,334,0.9,0.0,557.0,9.6,22.9,1.01
676,676,"OIL,COCOA BUTTER",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
5660,5660,"CAKE,YEL,COMMLY PREP,W/VANILLA FRSTNG",56.2,391,17.91,75.0,269.0,2.99,0.3,41.79
7399,7399,"BEEF,AUS,IMP,WGU,TP LN STK/RST,BNLES,LN & FAT,MRB SCR4/5,RAW",0.17,289,24.2,63.0,56.0,17.67,0.0,0.0
7272,7272,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,CHOIC,CKD,BRSD",0.0,306,21.72,91.0,68.0,27.75,0.0,0.0
3837,3837,"BEEF,CHCK,UNDR BLDE POT RST,BNLS,LN & FAT,0"",CHC,CKD,BRSD",0.0,306,21.48,100.0,61.0,26.39,0.0,0.0
2879,2879,"BRUSSELS SPROUTS,CKD,BLD,DRND,WO/SALT",7.1,36,0.5,0.0,21.0,2.55,2.6,1.74
5061,5061,"MORNINGSTAR FARMS CHIK'N NUGGETS,FRZ,UNPREP",21.8,221,10.0,0.0,702.0,14.4,4.9,2.2
1404,1404,"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",8.06,97,6.45,8.0,637.0,2.42,0.8,1.61
1405,1405,"CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND",4.76,36,1.19,4.0,516.0,1.59,0.8,3.17
5079,5079,"MORNINGSTAR FARMS LASAGNA W/ VEGGIE SAUSAGE,FRZ,UNPREP",14.4,96,2.3,4.0,208.0,7.1,2.3,1.7
3053,3053,"PEAS,GRN,CND,REG PK,SOL&LIQUIDS",10.6,58,0.48,0.0,185.0,3.01,3.3,3.2
5602,5602,"BREAD,RED-CAL,OAT BRAN,TSTD",49.2,239,3.8,0.0,547.0,9.5,14.3,4.2
6081,6081,"PORK SKINS,PLAIN",0.0,544,31.3,95.0,1818.0,61.3,0.0,0.0
7196,7196,"BEEF,CHK,UND BLE CNTR STK,BNL,DEN CT,LN&FT, 0"" FT,CH,CKD,GLD",0.4,236,14.41,89.0,73.0,26.1,0.0,0.0
6841,6841,"MCDONALD'S,HOTCAKES (PLAIN)",38.27,228,5.84,13.0,358.0,6.0,1.4,8.84
3297,3297,"CARROT JUICE,CANNED",9.28,40,0.15,0.0,66.0,0.95,0.8,3.91
2520,2520,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN,CKD,BRLD",0.0,180,7.29,84.0,56.0,26.76,0.0,0.0
6171,6171,"CANDIES,MARS SNACKFOOD US,M&M'S MILK CHOC CANDIES",71.19,492,21.13,14.0,61.0,4.33,2.8,63.68
5493,5493,"LAMB,NZ,IMP,RACK - FULLY FRENCHED,LN,CKD,FAST RSTD",0.0,173,8.38,72.0,67.0,24.39,0.0,0.0
4293,4293,"Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink",11.96,49,0.0,0.0,14.0,0.28,0.6,11.4
45,45,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",8.56,330,25.63,98.0,1284.0,16.86,0.0,5.59
369,369,"BABYFOOD,DINNER,VEG&TURKEY,STR",7.62,48,0.9,4.0,20.0,2.32,1.5,1.54
3749,3749,"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,CKD,BRSD",0.0,280,17.37,107.0,49.0,28.97,0.0,0.0
